RelaciónCompraAlquiler;Departamento;Año;PROMEDIO(RAI/RCI)-MIDES;PROMEDIO(RAI/RCI)-ECH;PorcentajeDiferencia
Alquiler;Tacuarembó;2010;16.1;15.53;3.54
Compra;Tacuarembó;2010;9.9;12.18;23.03
Alquiler;Treinta y Tres;2010;14.3;13.53;5.38
Compra;Treinta y Tres;2010;9.3;9.77;5.05
Alquiler;Artigas;2011;15.2;14.73;3.09
Compra;Artigas;2011;6.8;7.08;4.12
Alquiler;Canelones;2011;16.5;15.9;3.64
Compra;Canelones;2011;12.4;12.31;0.73
Alquiler;Cerro Largo;2011;16.3;16.34;0.25
Compra;Cerro Largo;2011;9.9;9.28;6.26
Alquiler;Colonia;2011;17.1;17.02;0.47
Compra;Colonia;2011;12.6;13.16;4.44
Alquiler;Durazno;2011;15.7;15.71;0.06
Compra;Durazno;2011;8.2;8.25;0.61
Alquiler;Flores;2011;16.3;15.98;1.96
Compra;Flores;2011;10.2;11.13;9.12
Alquiler;Florida;2011;16.1;14.72;8.57
Compra;Florida;2011;8.1;8.53;5.31
Alquiler;Lavalleja;2011;17;15.86;6.71
Compra;Lavalleja;2011;12.8;11.8;7.81
Alquiler;Maldonado;2011;19.5;19.3;1.03
Compra;Maldonado;2011;11.1;11.55;4.05
Alquiler;Montevideo;2011;21.4;21.46;0.28
Compra;Montevideo;2011;14.1;14.16;0.43
Alquiler;Paysandu;2011;17.9;16.57;7.43
Compra;Paysandu;2011;9.9;9.58;3.23
Alquiler;Rio Negro;2011;15.8;13.36;15.44
Compra;Rio Negro;2011;10.2;9.8;3.92
Alquiler;Rivera;2011;16.2;14.73;9.07
Compra;Rivera;2011;10.4;9.3;10.58
Alquiler;Rocha;2011;13.9;13.52;2.73
Compra;Rocha;2011;9.3;9.57;2.9
Alquiler;Salto;2011;18.3;17.07;6.72
Compra;Salto;2011;11.1;10.25;7.66
Alquiler;San José;2011;15.4;14.73;4.35
Compra;San José;2011;11.6;12;3.45
Alquiler;Soriano;2011;17.2;16.8;2.33
Compra;Soriano;2011;7.9;7.65;3.16
Alquiler;Tacuarembó;2011;19;18.67;1.74
Compra;Tacuarembó;2011;10.2;10.19;0.1
