"RelaciónCompraAlquiler";"DPTO";"Año";"Valor"
"Alquiler";19,00;2013;17,15
"Alquiler";19,00;2014;16,18
"Alquiler";19,00;2015;18,30
"Alquiler";19,00;2016;17,43
"Alquiler";19,00;2017;14,77
"Alquiler";19,00;2018;18,30
"Alquiler";19,00;2019;18,43
"Compra";1,00;2006;15,96
"Compra";1,00;2007;14,90
"Compra";1,00;2008;14,39
"Compra";1,00;2009;14,21
"Compra";1,00;2010;14,06
"Compra";1,00;2011;14,16
"Compra";1,00;2012;14,08
"Compra";1,00;2013;14,22
"Compra";1,00;2014;14,60
"Compra";1,00;2015;14,64
"Compra";1,00;2016;15,28
"Compra";1,00;2017;16,01
"Compra";1,00;2018;15,65
"Compra";1,00;2019;16,59
"Compra";2,00;2006;10,00
"Compra";2,00;2007;8,09
"Compra";2,00;2008;7,20
"Compra";2,00;2009;7,12
"Compra";2,00;2010;7,51
"Compra";2,00;2011;7,08
"Compra";2,00;2012;6,34
"Compra";2,00;2013;6,65
"Compra";2,00;2014;4,76
"Compra";2,00;2015;7,10
"Compra";2,00;2016;9,86
"Compra";2,00;2017;7,34
"Compra";2,00;2018;7,01
"Compra";2,00;2019;10,11
"Compra";3,00;2006;33,83
"Compra";3,00;2007;29,30
"Compra";3,00;2008;11,05
"Compra";3,00;2009;12,11
"Compra";3,00;2010;12,22
"Compra";3,00;2011;12,31
"Compra";3,00;2012;13,29
"Compra";3,00;2013;11,61
"Compra";3,00;2014;11,94
"Compra";3,00;2015;12,53
"Compra";3,00;2016;13,84
"Compra";3,00;2017;13,23
"Compra";3,00;2018;12,92
"Compra";3,00;2019;14,51
"Compra";4,00;2006;11,32
"Compra";4,00;2007;10,61
"Compra";4,00;2008;10,49
"Compra";4,00;2009;10,48
"Compra";4,00;2010;9,28
"Compra";4,00;2011;9,28
"Compra";4,00;2012;7,12
"Compra";4,00;2013;7,11
"Compra";4,00;2014;8,39
"Compra";4,00;2015;9,72
"Compra";4,00;2016;7,43
"Compra";4,00;2017;7,61
"Compra";4,00;2018;10,95
"Compra";4,00;2019;13,61
"Compra";5,00;2006;12,95
"Compra";5,00;2007;13,30
"Compra";5,00;2008;12,74
"Compra";5,00;2009;12,82
"Compra";5,00;2010;14,26
"Compra";5,00;2011;13,16
"Compra";5,00;2012;10,44
"Compra";5,00;2013;9,46
"Compra";5,00;2014;12,63
"Compra";5,00;2015;12,56
"Compra";5,00;2016;11,20
"Compra";5,00;2017;13,42
"Compra";5,00;2018;11,52
"Compra";5,00;2019;14,29
"Compra";6,00;2006;9,18
"Compra";6,00;2007;9,52
"Compra";6,00;2008;9,76
"Compra";6,00;2009;8,62
"Compra";6,00;2010;8,66
"Compra";6,00;2011;8,25
"Compra";6,00;2012;7,87
"Compra";6,00;2013;8,12
"Compra";6,00;2014;6,11
"Compra";6,00;2015;8,81
"Compra";6,00;2016;7,30
"Compra";6,00;2017;8,24
"Compra";6,00;2018;9,20
"Compra";6,00;2019;10,71
"Compra";7,00;2006;11,68
"Compra";7,00;2007;10,34
"Compra";7,00;2008;9,16
"Compra";7,00;2009;9,80
"Compra";7,00;2010;10,52
"Compra";7,00;2011;11,13
"Compra";7,00;2012;11,30
"Compra";7,00;2013;8,34
"Compra";7,00;2014;8,49
"Compra";7,00;2015;10,52
"Compra";7,00;2016;6,74
"Compra";7,00;2017;11,94
"Compra";7,00;2018;9,83
"Compra";7,00;2019;10,89
"Compra";8,00;2006;7,84
"Compra";8,00;2007;9,53
"Compra";8,00;2008;6,57
"Compra";8,00;2009;9,04
"Compra";8,00;2010;9,22
"Compra";8,00;2011;8,53
"Compra";8,00;2012;7,38
"Compra";8,00;2013;6,59
